Name,Type1,Type2,Path
Kadabra,"psychic","","./dataset/Kadabra/"
Alakazam,"psychic","","./dataset/Alakazam/"
Machop,"fighting","","./dataset/Machop/"
Machoke,"fighting","","./dataset/Machoke/"
Machamp,"fighting","","./dataset/Machamp/"
Bellsprout,"grass","poison","./dataset/Bellsprout/"
Weepinbell,"grass","poison","./dataset/Weepinbell/"
Victreebel,"grass","poison","./dataset/Victreebel/"
Tentacool,"water","poison","./dataset/Tentacool/"
Tentacruel,"water","poison","./dataset/Tentacruel/"
Geodude,"rock","ground","./dataset/Geodude/"
Graveler,"rock","ground","./dataset/Graveler/"
Golem,"rock","ground","./dataset/Golem/"
Ponyta,"fire","","./dataset/Ponyta/"
Rapidash,"fire","","./dataset/Rapidash/"
Slowpoke,"water","psychic","./dataset/Slowpoke/"
Slowbro,"water","psychic","./dataset/Slowbro/"
Magnemite,"electric","","./dataset/Magnemite/"
Magneton,"electric","","./dataset/Magneton/"
Farfetchd,"normal","flying","./dataset/Farfetchd/"
Doduo,"normal","flying","./dataset/Doduo/"
Dodrio,"normal","flying","./dataset/Dodrio/"
Seel,"water","","./dataset/Seel/"
Dewgong,"water","ice","./dataset/Dewgong/"
Grimer,"poison","","./dataset/Grimer/"
Muk,"poison","","./dataset/Muk/"
Shellder,"water","","./dataset/Shellder/"
Cloyster,"water","ice","./dataset/Cloyster/"
Gastly,"ghost","poison","./dataset/Gastly/"
Haunter,"ghost","poison","./dataset/Haunter/"
Gengar,"ghost","poison","./dataset/Gengar/"
Onix,"rock","ground","./dataset/Onix/"
Drowzee,"psychic","","./dataset/Drowzee/"
Hypno,"psychic","","./dataset/Hypno/"
Krabby,"water","","./dataset/Krabby/"
Kingler,"water","","./dataset/Kingler/"
Voltorb,"electric","","./dataset/Voltorb/"
Electrode,"electric","","./dataset/Electrode/"
Exeggcute,"grass","psychic","./dataset/Exeggcute/"
Exeggutor,"grass","psychic","./dataset/Exeggutor/"
Cubone,"ground","","./dataset/Cubone/"
Marowak,"ground","","./dataset/Marowak/"
Hitmonlee,"fighting","","./dataset/Hitmonlee/"
Hitmonchan,"fighting","","./dataset/Hitmonchan/"
Lickitung,"normal","","./dataset/Lickitung/"
Koffing,"poison","","./dataset/Koffing/"
Weezing,"poison","","./dataset/Weezing/"
Rhyhorn,"ground","rock","./dataset/Rhyhorn/"
Rhydon,"ground","rock","./dataset/Rhydon/"
Chansey,"normal","","./dataset/Chansey/"
Tangela,"grass","","./dataset/Tangela/"
Kangaskhan,"normal","","./dataset/Kangaskhan/"
Horsea,"water","","./dataset/Horsea/"
Seadra,"water","","./dataset/Seadra/"
Goldeen,"water","","./dataset/Goldeen/"
Seaking,"water","","./dataset/Seaking/"
Staryu,"water","","./dataset/Staryu/"
Starmie,"water","psychic","./dataset/Starmie/"
Mr. Mime,"psychic","","./dataset/MrMime/"
Scyther,"bug","flying","./dataset/Scyther/"
Jynx,"ice","psychic","./dataset/Jynx/"
Electabuzz,"electric","","./dataset/Electabuzz/"
Magmar,"fire","","./dataset/Magmar/"
Pinsir,"bug","","./dataset/Pinsir/"
Tauros,"normal","","./dataset/Tauros/"
Magikarp,"water","","./dataset/Magikarp/"
Gyarados,"water","flying","./dataset/Gyarados/"
Lapras,"water","ice","./dataset/Lapras/"
Ditto,"normal","","./dataset/Ditto/"
Eevee,"normal","","./dataset/Eevee/"
Vaporeon,"water","","./dataset/Vaporeon/"
Jolteon,"electric","","./dataset/Jolteon/"
Flareon,"fire","","./dataset/Flareon/"
Porygon,"normal","","./dataset/Porygon/"
Omanyte,"rock","water","./dataset/Omanyte/"
Omastar,"rock","water","./dataset/Omastar/"
Kabuto,"rock","water","./dataset/Kabuto/"
Kabutops,"rock","water","./dataset/Kabutops/"
Aerodactyl,"rock","flying","./dataset/Aerodactyl/"
Snorlax,"normal","","./dataset/Snorlax/"
Articuno,"ice","flying","./dataset/Articuno/"
Zapdos,"electric","flying","./dataset/Zapdos/"
Moltres,"fire","flying","./dataset/Moltres/"
Dratini,"dragon","","./dataset/Dratini/"
Dragonair,"dragon","","./dataset/Dragonair/"
Dragonite,"dragon","flying","./dataset/Dragonite/"
Mewtwo,"psychic","","./dataset/Mewtwo/"
Mew,"psychic","","./dataset/Mew/"
